22:3:16 - 7/12/2021 - 18.97 - 0.00 - Traffic(0.00) Geophony(0.21) Biophony(0.02) Anthrophony(0.78) 
22:3:17 - 7/12/2021 - 19.08 - 0.00 - Traffic(0.00) Geophony(0.02) Biophony(0.00) Anthrophony(0.98) 
22:3:18 - 7/12/2021 - 19.16 - 0.00 - Traffic(0.00) Geophony(0.02) Biophony(0.14) Anthrophony(0.84) 
22:3:19 - 7/12/2021 - 19.26 - 0.00 - Traffic(0.00) Geophony(0.77) Biophony(0.04) Anthrophony(0.20) 
22:3:20 - 7/12/2021 - 19.29 - 0.00 - Traffic(0.00) Geophony(0.46) Biophony(0.08) Anthrophony(0.46) 
22:3:21 - 7/12/2021 - 19.39 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:22 - 7/12/2021 - 19.43 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:23 - 7/12/2021 - 19.48 - 0.00 - Traffic(0.21) Geophony(0.00) Biophony(0.00) Anthrophony(0.79) 
22:3:24 - 7/12/2021 - 19.54 - 0.00 - Traffic(0.50) Geophony(0.00) Biophony(0.00) Anthrophony(0.50) 
22:3:25 - 7/12/2021 - 19.64 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:26 - 7/12/2021 - 19.69 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:27 - 7/12/2021 - 19.75 - 0.00 - Traffic(0.00) Geophony(0.03) Biophony(0.00) Anthrophony(0.97) 
22:3:28 - 7/12/2021 - 19.81 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:29 - 7/12/2021 - 19.85 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:30 - 7/12/2021 - 19.88 - 0.00 - Traffic(0.04) Geophony(0.00) Biophony(0.00) Anthrophony(0.96) 
22:3:31 - 7/12/2021 - 19.94 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:32 - 7/12/2021 - 20.00 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:33 - 7/12/2021 - 20.05 - 0.00 - Traffic(0.00) Geophony(0.38) Biophony(0.04) Anthrophony(0.59) 
22:3:34 - 7/12/2021 - 20.09 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:35 - 7/12/2021 - 20.15 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:36 - 7/12/2021 - 20.15 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:37 - 7/12/2021 - 20.21 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:38 - 7/12/2021 - 20.26 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:39 - 7/12/2021 - 20.28 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:40 - 7/12/2021 - 20.32 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:41 - 7/12/2021 - 20.34 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:42 - 7/12/2021 - 20.36 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:43 - 7/12/2021 - 20.40 - 0.00 - Traffic(0.02) Geophony(0.00) Biophony(0.00) Anthrophony(0.98) 
22:3:44 - 7/12/2021 - 20.43 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:45 - 7/12/2021 - 20.49 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:46 - 7/12/2021 - 20.49 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:47 - 7/12/2021 - 20.49 - 0.00 - Traffic(0.07) Geophony(0.00) Biophony(0.00) Anthrophony(0.93) 
22:3:48 - 7/12/2021 - 20.55 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
22:3:49 - 7/12/2021 - 20.55 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:50 - 7/12/2021 - 20.57 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:51 - 7/12/2021 - 20.62 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:52 - 7/12/2021 - 20.62 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:53 - 7/12/2021 - 20.68 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:54 - 7/12/2021 - 20.70 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:55 - 7/12/2021 - 20.68 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:56 - 7/12/2021 - 20.70 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
