Location;Sound_share;NDVI;BD;DB;RD;DR;LPI;LSI;PD;SHDI
BsL1;0,64;0,8;0;68,9;5;6,3;25;1;139,49;0,875
BsL2;0,01;0,4;2;80,8;7;31,7;10;1;109,49;0,503
BsL3;0,51;0,3;0;91,1;8;19,5;40;1,25;104,615;0,065
BsL4;1,25;0,76;41;10;16;3,45;70;1;167,487;0,449
BsL5;2,26;0,78;35;11,54;48;11,3;33,333;1;199,487;0,902
BsL6;8,32;0,85;2;68,95;30;6,9;100;2,5;180,612;0,831
BsL7;1,33;0,75;49;15,42;6;10,47;82;1,75;140,65;0,449
BsL8;0,29;0,54;38;13,4;16;8,81;62;0,75;102,25;0,45
BsL9;0,13;0,34;11;43,52;6;9,38;45;0,6;104,35;0,801
BsL10;2,68;0,77;41;19,41;24;2,35;80;2,5;122,48;0,606
BsL11;0,66;0,68;11;57;7;22,25;44;0,85;133,83;0,683
BsL12;0,88;0,66;38;10,43;14;8,27;55;0,9;135,85;0,554
