Sound_share;NDVI;BD;DB;RD;DR;LPI;LSI;PD;SHDI
95,3;0,8;2;68,9;5;6,3;25;1;139,49;0,875
87,88;0,4;2;80,8;7;31,7;10;1;109,49;0,503
96,74;0,3;1;91,1;8;19,5;40;1,25;104,615;0,065
74,55;0,76;11;10;16;3,45;70;1;167,487;0,449
13,87;0,78;45;11,54;48;11,3;33,333;1;199,487;0,902
41,42;0,85;20;68,95;30;6,9;100;2,5;180,612;0,831
96,87;0,75;1;15,42;6;10,47;82;1,75;140,65;0,449
89,89;0,54;2;13,4;16;8,81;62;0,75;102,25;0,45
24,55;0,34;35;43,52;6;9,38;45;0,6;104,35;0,801
22,96;0,77;32;19,41;24;2,35;80;2,5;122,48;0,606
32,47;0,68;28;57;7;22,25;44;0,85;133,83;0,683
54,55;0,66;22;10,43;14;8,27;55;0,9;135,85;0,554
