Location;Hs share;Ts share;Bs share;Gs share;NDVI;BD;DB;RD;DR;LPI;LSI;PD;SHDI
BsL1;3;0,23;0,64;95,3;0,8;0;68,9;5;6,3;45;2;139,49;0,875
BsL2;11,52;0,53;0,01;87,88;0,4;2;80,8;7;31,7;15;1,25;109,49;0,503
BsL3;1,97;0,77;0,51;96,74;0,3;0;91,1;8;19,5;27;2,15;104,615;0,065
BsL4;21,35;2,85;1,25;74,55;0,76;41;10;16;3,45;13;1;167,487;0,449
BsL5;4,56;79,31;2,26;13,87;0,78;35;11,54;48;11,3;5;0,25;199,487;0,902
BsL6;2,31;47,95;8,32;41,42;0,85;2;68,95;30;6,9;8;0,75;180,612;0,831
BsL7;1,43;0,37;1,33;96,87;0,75;49;15,42;6;10,47;55;2,25;140,65;0,449
BsL8;6,63;3,2;0,29;89,89;0,54;38;13,4;16;8,81;25;1,75;102,25;0,45
BsL9;74,81;0,51;0,13;24,55;0,34;11;43,52;6;9,38;11;0,6;104,35;0,801
BsL10;66,04;8,32;2,68;22,96;0,77;41;19,41;24;2,35;9;0,7;122,48;0,606
BsL11;66,01;0,86;0,66;32,47;0,68;11;57;7;22,25;14;0,85;133,83;0,683
BsL12;42,29;2,27;0,88;54,55;0,66;38;10,43;14;8,27;25;0,65;135,85;0,554
